File Name,Sprint Name,Planned For,ID,Type,Status,Parent ID,Parent Type,Count,Summary
***********
Sprint 1 Backlog.xml,Sprint 1 Backlog,OY2 Sprint 1,,Story,In Progress,,Story,33,"Deployment and release activities [OY2 Sprint 1]"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,554496,Story,Done,,Story,1,"As a general VA user, I want the ability to request access to the VIP Dashboard through a Help Desk ticket so that I can access the VIP Dashboard with the correct permissions"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555791,Task,Done,554496,Story,1,"Create landing page"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555794,Task,Done,554496,Story,1,"Dev testing"
Sprint 1 Backlog.xml,Sprint 1 Backlog,Product Backlog,555861,Defect,Resolved,,Story,2,"Investment (CIO Rating) - All CIO Rating calculations for investment records is defaulting to 2"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,557980,Task,Done,555861,Defect,1,"Dev Testing"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,557956,Task,Done,555861,Defect,1,"Find out why CIO Rating is defaulting to 2"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,558650,Defect,Resolved,,Story,1,"Revise - Revise Request ID should not editable (Help Desk Ticket #1619)"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,554395,Story,Done,,Story,1,"As a VIP Dashboard user, I want to have my technical issues in the production environment resolved so that I can use all dashboard functionality [BP Sprint 1]"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,557020,Task,Done,554395,Story,1,"Help Desk #1674"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,557019,Task,Done,554395,Story,1,"Help Desk #1677"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,557018,Task,Done,554395,Story,1,"Help Desk# 1678"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555834,Defect,Resolved,,Story,1,"Revise - Pending Revise Request page has requests that disappear once a revise record is created for an investment"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,558408,Story,Done,,Story,2,"As VIP Dashboard User, I would like the People Picker and Search button icons to have a uniform appearance like the calendar icons in the DatePickers, rather than floating outside of text boxes."
Sprint 1 Backlog.xml,Sprint 1 Backlog,Product Backlog,555853,Defect,Resolved,,Story,2,"Investment (CIO Rating) - Projects should have higher CIO rating value when values are entered for project fields"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,564438,Defect,Resolved,555853,Defect,1,"When user tries to calculate Investment CIO Rating, it gives error on UAT"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555138,Story,Done,,Story,1,"As a member of Management Review security group, I want to update all information within a TechStat record"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555804,Task,Done,555138,Story,1,"Dev testing"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555745,Task,Done,555138,Story,1,"Remove restriction on update of specified grids"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555819,Defect,Resolved,,Story,1,"Revise - Pending Revise Request List Page needs to include additional information"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,554385,Story,Done,,Story,1,"As a Read-Only VIP Dashboard user, I want the ability to view all modules within the VIP Dashboard except for the Administration module"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555774,Task,Done,554385,Story,1,"Dev Testing"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,556043,Task,Done,554385,Story,1,"QA Testing"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,568214,Task,Invalid,554385,Story,1,"Complete the Test Script : As a Read-Only VIP Dashboard user, I want the ability to view all modules within the VIP Dashboard except for the Administration module"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555771,Task,Done,554385,Story,1,"Rename the group"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,554485,Story,Done,,Story,1,"As a 508 user, I want the capability to enter dates and navigate the calendar from the keyboard with restriction access to numeric only"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555800,Task,Done,554485,Story,1,"Dev testing"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555797,Task,Done,554485,Story,1,"Assess the location of date controls throughout the application and be certain they are all instantiated through a central function"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,556196,Task,Done,554485,Story,1,"Add JS code to open a calendar associated with each Kendo datepicker control when the text portion obtains focus , and for the calendar to disappear when focus is lost"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,556194,Task,Done,554485,Story,1,"Add JS code to add a mask to the date input control using mm/dd/yyyy"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,555799,Task,Done,554485,Story,1,"Test calendar controls on every page of the application"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,556863,Story,Done,,Story,1,"As a 508 user, I want table row headers frozen as I scroll upward and disappear after the table has scrolledd past"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,556882,Task,Done,556863,Story,1,"Write JS code wrapper and listener to respond to each table header as the page is scrolled to freeze or unfreeze the header through .CSS"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,556885,Task,Done,556863,Story,1,"Apply the listener to each table and test the scroll for each page"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,556886,Task,Done,556863,Story,1,"QA testing"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,556873,Task,Done,556863,Story,1,"Identify tables throughout the dashboard to which there is potential for multiple rows that might scroll off screen"
Sprint 1 Backlog.xml,Sprint 1 Backlog,BP Sprint 1,554480,Story,Done,,Story,1,"As a Revise Approver, I want to only access my assigned investments on the Pending Revise Request List page so that I can process revise requests associated to my investment"
