number,short_description,description,urgency,state,story_points,acceptance_criteria,comments_and_work_notes,impact,priority,assigned_to,parent,active,backlog_type,assignment_group,product,sprint
1007819,"This is a test User Story",".",3 - Medium,Resolved,0 pts,"Acceptance criteria:
1. Create permission groups


Action items:
1. Confirm VA needs separate permission groups","",Moderate,Unassigned,"Unassigned",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
991714,"As a Portfolio Liaison user, I want to see a new Alert and Review listing page","As a Portfolio Liaison user, I want to see a new Alert and Review listing page",3 - Medium,Ready for Review,5 pts,"Acceptance Criteria:
1. Mirror Project listing page
2. Radio button to toggle between Alert and Review tabs (Name this field)
3. Default radio button should be ""Alert""
4. When either is selected the corresponding project will appear at the bottom of the page under ""Start New Project KPI Entry""
5. Develop a ""mock-out""
6. Hide ""Reviews"" until that functionality is built
7. Search Criteria for Alerts: Project Name, Investment Name, 
8. Reviews definitely need a filter criteria for ""Alerts""

Need for stakeholders:
1. Search criteria for listing page","1. Srivastava, Namrata (GovernmentCIO.) - May 6, 2019, 9:23 AM
Added: attachment 153165 (\\OITALNHSMSVM201.v02.med.va.gov\users\vhaisaSRIVAN\My Documents\VIP SharePoint Tool_CLIN 1006AJ_Build Acceptance Form_Sprint 16_02MAY2019.docx), attachment 153166 (\\OITALNHSMSVM201.v02.med.va.gov\users\vhaisaSRIVAN\My Documents\Project KPI Review - VIP Dashboard Updates v1.0-012.pptx), attachment 153167 (\\OITALNHSMSVM201.v02.med.va.gov\users\vhaisaSRIVAN\My Documents\20190502 Potential Alerts for KPI.xlsx)",Moderate,Unassigned,"Kolluru, Krishna K. (GovernmentCIO)",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
991701,"As a Portfolio Liaison user, I want an alert created based on the KPI logic to begin this process","As a Portfolio Liaison user, I want an alert created based on the KPI logic to begin this process",3 - Medium,Done,5 pts,"Acceptance Criteria:
1. Create automatic alert for different activities based on the KPI logic (Project Phase, Build, Close Out Phase Activities) for when the activity is saved or updated
2. Users can see alerts on Alert List page
3. Include fields from slide 7 of ppt




Megan update these:
Project KPI Alert ID
Project Name
VIP Phase
EPS Code
UII
Major Initiative
Investment Name
Portfolio Name
Project Manager
PM Organization
PM Phone Number
PM Email Address
KPI Alert Date","1. Srivastava, Namrata (GovernmentCIO.) - May 6, 2019, 9:26 AM
Added: attachment 153169 (\\OITALNHSMSVM201.v02.med.va.gov\users\vhaisaSRIVAN\My Documents\Project KPI Review - VIP Dashboard Updates v1.0-012.pptx), attachment 153170 (\\OITALNHSMSVM201.v02.med.va.gov\users\vhaisaSRIVAN\My Documents\20190502 Potential Alerts for KPI.xlsx)",Moderate,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
978987,"As a member of the Dev Team, I want to prepare to store all product information in ServiceNow instead of Rational","From Reed. 4/16/2019

These are the pending tasks I am aware of:
 
Â·         Confirm VIP DB team has access to Agile
Â·         Set up call w/ SMS and VIP team (PJ/Namrata/others?) to discuss new storiesâ€™ acceptance criteria and priorities
Â·         Set up structure for VIP DB product (e.g. Epics, Releases, Stories, etc.)
Â·         Set up time w/ Paul Marshall and SMS to demo â€œcloningâ€? of alignment epics in Rational (might not affect VIP DB)
Â·         Determine Data Transfer process (Paul Marshall/Tim Sears)  
",3 - Medium,New,0 pts,"Acceptance Criteria:
1. Determine how to migrate data from Rational to SN
2. Locate Rational tool for exports/backups
3. Determine the size of data to be migrated from each Rational tool (~10k records per import limit)
4. Each tool would be a separate table back-up (~10k record per table per import limit)
5. Export data by every 10k records
6. Create list of requirements for migration
7. Prepare screenshots of each form

Tasks:
1. Assess size of current Rational data on each tool
2. Create checklist for migration objectives
3. Schedule meeting with Tim to demo how the team uses Rational currently and what our list of requests for Service Now are

Three variables:
1. Usability of Rational now
2. The export tool
3. Amount of data","",Moderate,Unassigned,"Unassigned",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
995264,"OMB Submission for May","Tasks:
1. Generate XML files (.5 hr)
2. Validate data in database matches XML file data (4 hrs)
3. Test revise files (.5 hr)
4. Fix errors in revise files (4 hrs)
5. Submit revise files (.5 hrs)
6. Test non-revise files (.5)
7. Fix errors in non-revise files (4 hrs)
8. Submit non-revise files (.5 hrs)
9. Reconcile data errors (3 hrs)",1 - Critical,Resolved,0 pts,"","",Major,Unassigned,"Unassigned",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
994298,"Automation - Project lifecycle - Initiation and Project phase","Task
Create Page Object for Initiation Phase- 16 hours
Convert manual regression Initiation Phase script to automation -8 hours
Create data sheet - 12 hours
Test script - 8 hours

Create Page Object for Project Phase- 16 hours
Convert manual regression Project Phase script to automation -8 hours
Create data sheet - 12 hours
Test script - 8 hours",4 - Low,In Progress,13 pts,"","",Minor,Unassigned,"Barua, Shubra (Vidoori)",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
991815,"As a Portfolio Liaison user, I want to see a new main detail page for Alerts","As a Portfolio Liaison user, I want to see a new main detail page for Alerts",3 - Medium,Done,5 pts,"Acceptance Criteria:
	-Create mock-out
	-Add all autogenerated fields as disabled
	-Add all manual entry fields should be editable
	-Add button at bottom saying ""Initiate KPI Review""
	-""Initiate KPI Review""  should be disabled
	-Create Alert form based on slide deck<10% green
between 10 and 30 yello
if 30 and above it is red
 ","1. Srivastava, Namrata (GovernmentCIO.) - May 6, 2019, 9:41 AM
Added: attachment 153178 (\\OITALNHSMSVM201.v02.med.va.gov\users\vhaisaSRIVAN\My Documents\Project KPI Review - VIP Dashboard Updates v1.0-012.pptx), attachment 153179 (\\OITALNHSMSVM201.v02.med.va.gov\users\vhaisaSRIVAN\My Documents\20190502 Potential Alerts for KPI.xlsx)",Moderate,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
995272,"As a VIP Dashboard user, I want to have my technical issues in the production environment resolved so that I can use all dashboard functionality [OY1 Sprint 17]",".",2 - High,In Progress,8 pts,"","",Major,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
995276,"Deployment and release activities [OY1 Sprint 17]",".",2 - High,Done,5 pts,"","",Significant,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
991851,"As a Portfolio Liaison user, I want  a system-generated email sent an Alert has been created","As a Portfolio Liaison user, I want to a system-generated email when an Alert is created",3 - Medium,Ready for Review,3 pts,"Acceptance criteria:
	-Create new group for Portfolio Liaisons (3 users)
	-Send an email whenever an Alert is triggered (24 hours after first email)Business Rule â€“ When a KPI Alert is triggered, an automated email is sent to the PM, Portfolio Liaison, and Project KPI Review Coordinator notifying them of the alert

 
As soon as the a KPI Alert is triggered and entry created, the Portfolio Liaison, PM, and Project KPI Review receives an email. The Portfolio Liaison will receive daily reminder emails after the trigger until he/she changes the Status of the KPI Alert field from â€˜initialâ€™ to UNDER REVIEW

Daily reminder email will trigger 24 hours after the alert was created; email should have same content as initial email with added ""reminder"" language

*Get email wording from users
 ","1. Perdue, Megan A. (Grant Thornton) - May 15, 2019, 1:00 PM
Added: attachment 154786 (Email Notification of Project KPI Alert (5-15-19-TS).docx)",Moderate,Unassigned,"Unassigned",rtcSprint00000032,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
