Sprint 1 Backlog.xml,Sprint 1 Backlog,2017-07-09 08:00:00,2017-07-28 17:00:00
Sprint 2 Backlog.xml,Sprint 2 Backlog,2017-07-30 08:00:00,2017-08-18 17:00:00
Sprint 3 Backlog.xml,Sprint 3 Backlog,2017-08-20 08:00:00,2017-09-08 17:00:00
Sprint 4 Backlog.xml,Sprint 4 Backlog,2017-09-10 08:00:00,2017-09-29 17:00:00
Sprint 5 Backlog.xml,Sprint 5 Backlog,2017-10-01 08:00:00,2017-10-20 17:00:00
Sprint 6 Backlog.xml,Sprint 6 Backlog,2017-10-22 08:00:00,2017-11-10 17:00:00
Sprint 7 Backlog.xml,Sprint 7 Backlog,2017-11-12 08:00:00,2017-12-01 17:00:00
Sprint 8 Backlog.xml,Sprint 8 Backlog,2017-12-03 08:00:00,2017-12-22 17:00:00
Sprint 9 Backlog.xml,Sprint 9 Backlog,2018-01-01 08:00:00,2018-01-18 17:00:00
Sprint 10 Backlog.xml,Sprint 10 Backlog,2018-01-21 08:00:00,2018-02-08 17:00:00
Sprint 11 Backlog.xml,Sprint 11 Backlog,2018-02-11 08:00:00,2018-03-01 17:00:00
Sprint 12 Backlog.xml,Sprint 12 Backlog,2018-03-04 08:00:00,2018-03-22 17:00:00
Sprint 13 Backlog.xml,Sprint 13 Backlog,2018-03-25 08:00:00,2018-04-12 17:00:00
Sprint 14 Backlog.xml,Sprint 14 Backlog,2018-04-15 08:00:00,2018-05-03 17:00:00
Sprint 15 Backlog.xml,Sprint 15 Backlog,2018-05-06 08:00:00,2018-05-24 17:00:00
Sprint 1 Backlog (OY1).xml,Sprint 1 Backlog (OY1),2018-06-03 08:00:00,2018-06-22 17:00:00
Sprint 2 Backlog (OY1).xml,Sprint 2 Backlog (OY1),2018-06-24 08:00:00,2018-07-13 17:00:00
Sprint 3 Backlog (OY1).xml,Sprint 3 Backlog (OY1),2018-07-15 08:00:00,2018-08-03 17:00:00
Sprint 4 Backlog (OY1).xml,Sprint 4 Backlog (OY1),2018-08-05 08:00:00,2018-08-24 17:00:00
Sprint 5 Backlog (OY1).xml,Sprint 5 Backlog (OY1),2018-08-26 08:00:00,2018-09-14 17:00:00
Sprint 6 Backlog (OY1).xml,Sprint 6 Backlog (OY1),2018-09-16 08:00:00,2018-10-05 17:00:00
Sprint 7 Backlog (OY1).xml,Sprint 7 Backlog (OY1),2018-10-07 08:00:00,2018-10-26 17:00:00
Sprint 8 Backlog (OY1).xml,Sprint 8 Backlog (OY1),2018-10-28 08:00:00,2018-11-16 17:00:00
Sprint 9 Backlog (OY1).xml,Sprint 9 Backlog (OY1),2018-11-18 08:00:00,2018-12-07 17:00:00
Sprint 10 Backlog (OY1).xml,Sprint 10 Backlog (OY1),2018-12-09 08:00:00,2018-12-28 17:00:00
Sprint 11 Backlog (OY1).xml,Sprint 11 Backlog (OY1),2018-12-30 08:00:00,2019-01-18 17:00:00
Sprint 12 Backlog (OY1).xml,Sprint 12 Backlog (OY1),2019-01-20 08:00:00,2019-02-08 17:00:00
Sprint 13 Backlog (OY1).xml,Sprint 13 Backlog (OY1),2019-02-10 08:00:00,2019-03-01 17:00:00
Sprint 14 Backlog (OY1).xml,Sprint 14 Backlog (OY1),2019-03-03 08:00:00,2019-03-22 17:00:00
Sprint 15 Backlog (OY1).xml,Sprint 15 Backlog (OY1),2019-03-24 08:00:00,2019-04-12 17:00:00
Sprint 16 Backlog (OY1).xml,Sprint 16 Backlog (OY1),2019-04-14 08:00:00,2019-05-03 17:00:00
Sprint 17 Backlog (OY1).xml,Sprint 17 Backlog (OY1),2019-05-05 08:00:00,2019-05-24 17:00:00
Product Backlog.xml,Product Backlog,2019-05-05 08:00:00,2019-05-24 17:00:00
