number,short_description,description,urgency,state,story_points,acceptance_criteria,comments_and_work_notes,impact,priority,assigned_to,parent,active,backlog_type,assignment_group,product,sprint
991596,"Sustainment Products - Non-REV fields should be editable after saving","Details:

     User Role: 

     Systems Affected: 

     Manual/Automation: 

     Repeatable: 

     Impacted Population: 

     Actual Outcome vs Expected Outcome: 

     Steps to Reproduce: 

",3 - Medium,Resolved,,"","",Moderate,Unassigned,"Kolluru, Krishna K. (GovernmentCIO)",,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000032
900556,"Reports - (Helpdesk - #2831) VIPProjectByPhase Report has some invalid data for dates and cost [2 pts]","Service Request #2831 (click to edit)
Description: VIPProjectbyPhase Report
Details:
â€‹I ran this report for Collaborative
Terminology Tooling and Data Management Phase 1.5 and discoverd the following:
Project Phase Actual/Projected Costs Column -  this field is just the Product Phase costs for builds, however this amount matched the 'Project Planned Total Cost' which should include all activities. 
Close Out Phase Actual/Projected Costs â€“ this column did not get populated with the projected costs for Close Out.
Project or Investment: Collaborative Terminology Tooling and Data Management Phase 1.5
URL: 
Requestor:
Denise Miller",3 - Medium,Resolved,,"","",Moderate,Unassigned,"Unassigned",,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
824297,"Revise - Occasionally when revise request is approved, revised data value is not changed for the field that is being revised [5 pts]","Acceptance Criteria:
1. Doesn't happen every time, so assess if this issue is still occurring
2. Diagnose the problem, add in specific help desk tickets to identify the affected fields
3. Project Date & Costs fields have experienced this issue; analyze all the Revised fields
4. Main objective of this defect is to identify and understand the issue, then resolve",3 - Medium,Resolved,,"","",Moderate,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000031
850646,"OMB Tool - When user selects Download XML, the information is displayed in a new tab and cannot be downloaded from the frontend","When user selects Download XML, the information is displayed in a new tab. The download functionality does not allow the user to download the xml.

Tasks:
1. Analyze source of issue (2 hr)
2. Implement fix (1 hour)
3. Dev test (30 mins)
4. QA testing (30 mins)",3 - Medium,Resolved,,"","",Moderate,3 - Normal Queue,"Kolluru, Krishna K. (GovernmentCIO)",,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
872322,"Administration (Help Desk #2968) - Inability to access ""Go To Revise Approval"" button from Pending Revise List in Administration module","Inability to access ""Go To Revise Approval"" button from Pending Revise List in Administration module",2 - High,Resolved,,"","1. Srivastava, Namrata (GovernmentCIO.) - Nov 29, 2018, 12:02 PM
Added: attachment 133995 (FW New VIP Service Request - #2968.msg)",Significant,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000028
916341,"Help Desk Service Request - #3117 - Blank screen in EPS admin console","We are getting a blank screen when attempting to access the the EPS admin console.",3 - Medium,Resolved,,"","",Moderate,3 - Normal Queue,"Srivastava, Namrata (GovernmentCIO.)",,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
842682,"All Modules - Fields that are enabled appear as grayed out","All Modules - Fields that are enabled appear as grayed out

Acceptance Criteria/Tasks:
-Generate list of fields with issues
-Identify fields that are enabled but colored wrong
-Identify disabled fields colored wrong
 ",1 - Critical,Resolved,,"","1. Srivastava, Namrata (GovernmentCIO.) - Oct 25, 2018, 8:15 AM
Added: attachment 130044 (VIPFieldNamesByModule.xlsx)

2. Barua, Shubra (Vidoori) - Jan 18, 2019, 9:13 AM
Added: attachment 139927 (defect template 842682 Investment.xlsx)

3. Barua, Shubra (Vidoori) - Mar 1, 2019, 12:49 PM
Added: attachment 145081 (greyed out notes.txt)",Moderate,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
894887,"OMB Tool - Could not pick up both revise and non-revise updates from the same object","We have a defect with the tool here, where it could not pick up both revise and non-revise updates for the same object.  The revise for the Build Description was captured and submitted, but the non-revise updates for Actual Completion Date and Projected Cost were not.  We'll address this discrepancy with the January submissions.

Discrepancies were found in: 
 
029-555555301
Health Data & Information
1809174836
Activity
Completion Date Actual
12/9/2018
NULL

029-555555301
Health Data & Information
1809174836
Activity
Projected Cost
$687,936 
$1,226,821 

 ",2 - High,Resolved,,"","",Major,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000027
903579,"Helpdesk Request - #3073 - Move the product 1901046651 from UAT to production",".",2 - High,Resolved,,"","",Major,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",903572,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000026
869658,"Helpdesk #2947 - Product phase for a project without build is not loading properly","Helpdesk #2947 - Product phase for a project without build is not loading properly",1 - Critical,Resolved,,"","1. Srivastava, Namrata (GovernmentCIO.) - Nov 26, 2018, 2:08 PM
Added: attachment 133438 (RE New VIP Service Request - #2947 critical .msg), attachment 133439 (RE New VIP Service Request - #2947 critical - 1.msg)",Major,Unassigned,"Srivastava, Namrata (GovernmentCIO.)",867207,"false",Product,VIP Team,VA VIP Dashboard,rtcSprint00000024
